epoch,d_t_plus_1_loss,d_t_plus_1_rmse,d_t_plus_2_loss,d_t_plus_2_rmse,d_t_plus_3_loss,d_t_plus_3_rmse,d_t_plus_4_loss,d_t_plus_4_rmse,d_t_plus_5_loss,d_t_plus_5_rmse,loss,val_d_t_plus_1_loss,val_d_t_plus_1_rmse,val_d_t_plus_2_loss,val_d_t_plus_2_rmse,val_d_t_plus_3_loss,val_d_t_plus_3_rmse,val_d_t_plus_4_loss,val_d_t_plus_4_rmse,val_d_t_plus_5_loss,val_d_t_plus_5_rmse,val_loss
0,2.5828572936434933,0.19996370752777398,4.0475424397474224,0.3399334437479978,5.791739101943957,0.48060909094355453,7.27085840224865,0.5503294505600769,8.525087854509895,0.6083317116801821,28.218085094183,0.027345016203673585,0.1613212167672893,0.061053474451032576,0.23922220408921174,0.08844787565819333,0.2810670208688683,0.09142252285384807,0.28260116326101503,0.08590617489671204,0.27450571069928537,0.35417506422840556
1,2.2428887553528947,0.30709271372806746,3.8877351160629448,0.46281560455492377,5.250411996150607,0.5518849180886787,6.356510913198532,0.5729690889295049,7.695345474406039,0.592802611205346,25.432892260997416,0.02154295501931634,0.1439574510928687,0.03652630366577551,0.1866680636672491,0.04596983980181463,0.20871022412905016,0.053827426813793,0.22328304717794187,0.050904230361554254,0.2178702119965007,0.20877075599097022
2,2.9707134075564063,0.4899757040531311,4.953064682521625,0.6923588132603881,6.00969210843432,0.7063334224315686,6.8792442823192665,0.7023322560053499,7.85361581425173,0.6895435918371181,28.666330282637247,0.027816091945126346,0.16188640697508988,0.06931791429439507,0.24985723710124688,0.07286551501623972,0.2523057714323666,0.07024409407622194,0.24863108199347272,0.0745447644880555,0.2562436141743478,0.31478838039303964
0,3.875159477708791,0.4610636151579336,5.552486799366501,0.7033122102498887,6.698618545189262,0.7622320704435726,7.7766834051620695,0.7507491691731678,9.155280193619468,0.7614749508536239,33.05822844741523,0.07205663877542398,0.2520405626905377,0.0704723666379094,0.24710989865456698,0.07663321333558015,0.25651965319673076,0.0737880194385883,0.25348783372246714,0.0747480264425096,0.25466153058773044,0.3676982659123583
0,1.8667293857261804,0.1164655289138128,2.7090071926842176,0.12851421976333427,3.8065086325756887,0.10952685741710316,5.199587684951297,0.11259328625012399,13.82642631617951,0.25622070525643004,27.408259203978837,0.006191717801589199,0.07608178762065569,0.0112705592897048,0.10301638177519853,0.015446649389802568,0.120851511195789,0.02035637286142284,0.1386215341187381,0.02309037479577018,0.1471726125687493,0.07635567472267718
1,1.0615146809925058,0.08464105503621663,1.939565710407669,0.1346865119575178,2.889644617303327,0.13954679027848343,3.914281136868034,0.1360832703426487,4.759545437555708,0.10260229077370864,14.564551588530746,0.006725430477224354,0.07885735739798543,0.010968193532891921,0.10134570105386514,0.015239012744321302,0.12035362286944187,0.018630633805096705,0.13227055394754195,0.020034467053073157,0.13714367633443192,0.07159773767358063
2,0.9979258177055458,0.08776440088980533,1.8572932355173286,0.12379532359351081,2.7389156093378992,0.11286081713036031,3.681009427636258,0.1267956050075054,4.518301067496341,0.09941031806336113,13.793445166126228,0.005937543506091651,0.07410773727707366,0.010331220304837777,0.09828440319653975,0.014463932058085771,0.11599532919633343,0.018627006510610104,0.13195836139312034,0.021927686979057247,0.14200672606802148,0.071287389237079
3,0.9608171559004272,0.08380275474283243,1.7987632856730569,0.11100452120944615,2.6206210847013054,0.07830765341732934,3.568008311594337,0.08931595286859441,4.328332667441021,0.09332633605470048,13.276542494950407,0.00563830358201026,0.07237422257215956,0.010196589671414834,0.09756199375311739,0.013944030452988929,0.1135336989315272,0.016629279490231283,0.12480089642079865,0.021247004970668778,0.14141550185042046,0.06765520810482269
4,0.918731690608156,0.08011301376235845,1.765892661621321,0.10306847062783078,2.5680426016254336,0.0808515882939324,3.465659813358373,0.08118250829593812,4.226950333138335,0.09071717196757735,12.945277118185103,0.009734558313761776,0.09615392368428384,0.012575364455547801,0.1100706502987591,0.018038687208473996,0.13180742342654558,0.019451697046476438,0.13543082322141053,0.020538626573248175,0.13981987265418674,0.0803389340107056
5,0.9024319611229448,0.07991090872339908,1.7214434917540113,0.09942740516969875,2.52536506837011,0.07788241787007018,3.3697386877132174,0.0780833679035278,4.155904051002662,0.08863980533426018,12.674883257675857,0.005888716294891168,0.07410537777910557,0.010531713511351392,0.09907575770462289,0.013102797531650315,0.11099839063195117,0.01793078882196844,0.1298714395465261,0.02020913472984507,0.13759468069572206,0.06766315070602773
